listen on 3000
mongodb connected on mongodb://localhost:27017/prjcmk-s
[00:17:34.498] GET /index.html
[00:17:34.520] GET /css/normalize.css
[00:17:34.531] GET /css/sweetalert.css
[00:17:34.532] GET /css/default.css
[00:17:34.533] GET /js/jquery.min.js
[00:17:34.533] GET /js/jquery.qrcode.min.js
[00:17:34.534] GET /js/rx.lite.js
[00:17:34.535] GET /js/mustache.min.js
[00:17:34.547] GET /js/sweetalert.min.js
[00:17:34.548] GET /js/utility.js
[00:17:34.548] GET /js/main.js
[00:17:34.720] GET /sync
[00:17:34.747] GET /css/sync.css
[00:17:34.752] GET /js/sync.js?_=1470003454587
[00:17:40.983] GET /index.html
[00:17:41.022] GET /css/normalize.css
[00:17:41.023] GET /css/sweetalert.css
[00:17:41.024] GET /css/default.css
[00:17:41.024] GET /js/jquery.min.js
[00:17:41.034] GET /js/jquery.qrcode.min.js
[00:17:41.035] GET /js/rx.lite.js
[00:17:41.040] GET /js/mustache.min.js
[00:17:41.041] GET /js/sweetalert.min.js
[00:17:41.042] GET /js/utility.js
[00:17:41.042] GET /js/main.js
[00:17:41.196] GET /sync
[00:17:41.214] GET /css/sync.css
[00:17:41.218] GET /js/sync.js?_=1470003461082
[00:17:45.583] GET /index.html
[00:17:45.598] GET /css/normalize.css
[00:17:45.610] GET /css/sweetalert.css
[00:17:45.611] GET /css/default.css
[00:17:45.612] GET /js/jquery.min.js
[00:17:45.613] GET /js/jquery.qrcode.min.js
[00:17:45.614] GET /js/rx.lite.js
[00:17:45.615] GET /js/mustache.min.js
[00:17:45.627] GET /js/sweetalert.min.js
[00:17:45.628] GET /js/utility.js
[00:17:45.628] GET /js/main.js
[00:17:45.797] GET /sync
[00:17:45.804] GET /css/sync.css
[00:17:45.809] GET /js/sync.js?_=1470003465669
[00:19:30.086] GET /index.html
[00:19:30.098] GET /css/normalize.css
[00:19:30.099] GET /css/sweetalert.css
[00:19:30.099] GET /css/default.css
[00:19:30.100] GET /js/jquery.min.js
[00:19:30.100] GET /js/jquery.qrcode.min.js
[00:19:30.101] GET /js/rx.lite.js
[00:19:30.108] GET /js/mustache.min.js
[00:19:30.109] GET /js/sweetalert.min.js
[00:19:30.109] GET /js/utility.js
[00:19:30.110] GET /js/main.js
[00:19:30.240] GET /remote
[00:19:30.279] GET /css/remote.css
[00:19:30.284] GET /js/remote.js?_=1470003465670
[00:19:49.176] GET /index.html
[00:19:49.219] GET /css/normalize.css
[00:19:49.220] GET /css/sweetalert.css
[00:19:49.237] GET /css/default.css
[00:19:49.238] GET /js/jquery.min.js
[00:19:49.238] GET /js/jquery.qrcode.min.js
[00:19:49.240] GET /js/rx.lite.js
[00:19:49.254] GET /js/mustache.min.js
[00:19:49.254] GET /js/sweetalert.min.js
[00:19:49.255] GET /js/utility.js
[00:19:49.257] GET /js/main.js
[00:19:49.427] GET /sync
[00:19:49.446] GET /css/sync.css
[00:19:49.451] GET /js/sync.js?_=1470003589290
[00:19:51.283] GET /remote
[00:19:51.294] GET /css/remote.css
[00:19:51.295] GET /js/remote.js?_=1470003589291
[00:19:59.815] GET /remote
[00:19:59.859] GET /css/remote.css
[00:19:59.862] GET /js/remote.js?_=1470003589292
[00:20:42.945] GET /index.html
[00:20:42.964] GET /css/normalize.css
[00:20:42.964] GET /css/sweetalert.css
[00:20:42.965] GET /css/default.css
[00:20:42.965] GET /js/jquery.min.js
[00:20:42.966] GET /js/jquery.qrcode.min.js
[00:20:42.967] GET /js/rx.lite.js
[00:20:42.981] GET /js/mustache.min.js
[00:20:42.983] GET /js/sweetalert.min.js
[00:20:42.984] GET /js/utility.js
[00:20:42.984] GET /js/main.js
[00:20:43.158] GET /remote
[00:20:43.180] GET /css/remote.css
[00:20:43.185] GET /js/remote.js?_=1470003643024
[00:20:53.591] GET /index.html
[00:20:53.604] GET /css/normalize.css
[00:20:53.611] GET /css/sweetalert.css
[00:20:53.615] GET /css/default.css
[00:20:53.616] GET /js/jquery.min.js
[00:20:53.617] GET /js/jquery.qrcode.min.js
[00:20:53.617] GET /js/rx.lite.js
[00:20:53.619] GET /js/mustache.min.js
[00:20:53.620] GET /js/sweetalert.min.js
[00:20:53.625] GET /js/utility.js
[00:20:53.626] GET /js/main.js
[00:20:53.805] GET /remote
[00:20:53.820] GET /css/remote.css
[00:20:53.823] GET /js/remote.js?_=1470003653666
[00:20:58.793] GET /remote
[00:20:58.804] GET /css/remote.css
[00:20:58.806] GET /js/remote.js?_=1470003653667
[00:22:13.162] GET /index.html
[00:22:13.176] GET /css/normalize.css
[00:22:13.187] GET /css/sweetalert.css
[00:22:13.188] GET /css/default.css
[00:22:13.188] GET /js/jquery.min.js
[00:22:13.189] GET /js/jquery.qrcode.min.js
[00:22:13.191] GET /js/rx.lite.js
[00:22:13.191] GET /js/mustache.min.js
[00:22:13.196] GET /js/sweetalert.min.js
[00:22:13.203] GET /js/utility.js
[00:22:13.205] GET /js/main.js
[00:22:13.394] GET /undefined
[00:22:13.398] GET /sync
[00:22:13.424] GET /css/sync.css
[00:22:13.429] GET /js/sync.js?_=1470003733244
[00:22:38.153] GET /index.html
[00:22:38.181] GET /css/normalize.css
[00:22:38.182] GET /css/sweetalert.css
[00:22:38.183] GET /css/default.css
[00:22:38.184] GET /js/jquery.min.js
